qc_id,fid,id monumento,x,y,tipo,km autopista,km tren,clase de monumento,monumentos superiores,ubicación de intervención,intervención en ceros,intervención en ddv,fecha inicio intervención,fecha fin intervención,id arqueólogo(s),área de monumento (m2),cuadros intervenidos,área intervenida (m2),total bolsas de material,estatus de intervención,tipo de intervención,id enlace,tipo de dictaminación,supervisión de maquinaria,tramo,minuta,entrega,icon_url
"173","174",T4_04016,3907362.599,1034419.12,Cimiento,133+581,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,2022/02/01,2022/02/07,"405",16,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,./0.png
"174","175",T4_03019,3903918.317,1033297.593,Afloramiento acondicionado,N/A,7075+321,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,2022/01/22,2022/01/24,"401",66.6,5,20,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,./0.png
"175","176",T4_03005,3907821.354,1034417.905,Basamento,N/A,7079+414,Monumento principal,T4_04010,Derecho de vía tren,No aplica,Si,2022/01/26,2022/01/31,"405",360,2,8,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,./0.png
"176","177",T4_03084,3944036.264,1043438.755,Sascabera,171+891,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,2022/01/19,2022/01/19,"403",143,0,143,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,./0.png
"177","178",T4_01002,3908048.959,1034458.251,Cimiento,N/A,7079+646,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,2022/01/27,2022/02/02,"403",23.46,5,20,"6",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,./0.png
"178","179",T4_02044,3934171.049,1039820.177,Nivelación,N/A,7106+697,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,2022/01/12,2022/01/17,"403",360,10,50,"16",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,./0.png
"179","180",T4_03083,3934172.017,1039759.95,Nivelación,N/A,7106+682,Monumento principal,T4_14196,Derecho de vía tren,No aplica,Si,2022/01/14,2022/01/20,"404",192,33,132,"62",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,./0.png
"180","181",T4_03012,3907545.151,1034370.427,Nivelación,N/A,7079+132,Monumento principal,T4_01009,Derecho de vía tren,No aplica,Si,2022/01/26,2022/01/27,"401",870,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,FEBRERO,./0.png
"181","182",T4_02008,3907571.429,1034480.654,Nivelación,133+798,N/A,Monumento principal,"T4_03015,T4_05011,T4_16049",Derecho de vía Autopista,No aplica,SI,2022/02/09,2022/02/16,"405,402",1305,20,80,"17",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,./0.png
"182","183",T4_04014,3907601.341,1034483.479,Basamento,133+829,N/A,Monumento principal,T4_16047,Derecho de vía Autopista,No aplica,SI,2022/02/14,2022/02/17,"401",720,12,364,"12",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,./0.png
"183","184",T4_16047,3907607.797,1034481.651,Terraza,133+835,N/A,Monumento superior,Asociado a monumento principal T4_04014,Derecho de vía Autopista,No aplica,SI,2022/02/14,2022/02/17,"406",140,2,8,"8",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,./0.png
"184","185",T4_16049,3907582.3,1034490.232,Nivelación,133+811,N/A,Monumento superior,Asociado a monumento principal T4_02008,Derecho de vía Autopista,No aplica,SI,2022/02/09,2022/02/17,"402",0,0,0,"5",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,./0.png
"185","186",T4_06001,3907230.884,1034381.042,Pozo,133+444,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,2022/03/02,2022/02/03,"403",0.8,0,0.8,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,./0.png
"186","187",T4_05015,3921352.274,1038779.351,Basamento,N/A,7093+697,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,2022/02/22,2022/02/24,"401",1200,1,4,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0001,MARZO,./0.png
"187","188",T3_12547,3845094.87,1045945.096,Cimiento,N/A,7010+860,Monumento superior,Asociado al monumento principal T3_12546,Ceros tren,Si,No Aplica,2022/03/28,2022/04/01,"401",0,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,,./0.png
"188","189",T3_12559,3845784.421,1045313.83,Cimiento con núcleo,N/A,7011+803,Monumento superior,Asociado al monumeto principal T3_12558,Ceros tren,Si,No Aplica,,,,,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,,./0.png
"189","190",T3_12560,3845767.099,1045318.288,Cueva,N/A,7011+790,Monumento superior,Asociado al monumento principal T3_12558,Ceros tren,Si,No Aplica,,,,,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,,./0.png
"190","191",T4_10413,3963303.823,1051451.839,Haltun,N/A,7138+228,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,2022/04/06,2022/04/26,"414",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,,,./0.png
"191","192",T3_13433,3845680.291,1045373.624,Cimiento con núcleo,N/A,7011+697,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/11,2022/04/28,,,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,,./0.png
"192","193",T3_13432,3845683.849,1045381.228,Cimiento,N/A,7011+693,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/11,2022/04/28,,,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,,./0.png
