fid,ID Monumento,Tipo,X,Y,km autopista,km tren,Clase de monumento,Monumentos superiores,Ubicación de intervención,Intervención en ceros,Intervención en DDV,Fecha inicio intervención,Fecha fin intervención,ID Arqueólogo(s),Área de monumento (m2),Cuadros intervenidos,Área intervenida (m2),Total bolsas de material,Estatus de intervención,Tipo de intervención,ID Enlace,Tipo de dictaminación,Supervisión de maquinaria,Tramo,Minuta,ENTREGA,Geomalla,DANI,COMPRO_FECH_FIN,MON SUP RESPUESTAS,subtramo,Reti,Rezago,icon_url
"288",T4_12482,Terraza,3846952.659,1042761.74,N/A,7014+620,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/05/17,2022/05/24,"419",36,9,36,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,DANI,,,1. Izamal,Sin reticula,"2",
"289",T4_10354,Nivelación,3846941.709,1042766.962,N/A,7014+611,Monumento principal,"T4_14178,T4_14177,T4_04802",Ceros tren,Si,No aplica,2022/05/25,2022/05/26,"419",225,1,4,"4",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,DANI,,"T4_04801,T4_04802,T4_12481,T4_14178,T4_16074,T4_10353,T4_12482,T4_14177,T4_14179",1. Izamal,Sin reticula,"2",
"290",T4_10353,Terraza,3846946.8,1042775.471,N/A,7014+605,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/05/18,2022/05/24,"419",32,8,32,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,DANI,,,1. Izamal,Sin reticula,"2",
"291",T4_12481,Cimiento con núcleo,3846948.561,1042753.642,N/A,7014+626,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/05/17,2022/05/25,"419",16,4,16,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,DANI,,,1. Izamal,Sin reticula,"2",
"292",T4_11352,Cimiento con núcleo,4028560.303,1074878.379,263+031,7208+410,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,Si,,,,,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,,,N/A,,,,4. Leona Vicario,Sin reticula,"5",
"293",T4_02052,Cimiento con núcleo,3852252.433,1037398.484,077+778,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,No aplica,2022/05/19,,"414,417",,,,,En proceso,En proceso,"21023","2",Pendiente,T4,,,N/A,,,,1. Izamal,Sin reticula,"2",
"294",T4_01098,Cimiento,3852335.598,1037389.312,077+862,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,No aplica,2022/06/16,,"414,417",,10,,"5",En proceso,En proceso,"21023","2",Pendiente,T4,,,N/A,,,T4_03096,1. Izamal,Sin reticula,"0",
"295",T4_11348,Basamento,4028654.958,1074899.479,263+130,7208+509,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,Si,,,"415",,,,,En proceso,En proceso,"21023,21040","2",Pendiente,T4,,,N/A,,,,4. Leona Vicario,Sin reticula,"5",
"296",T4_12333,Afloramiento acondicionado,4028614.331,1074868.623,263+079,7208+458,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,Si,2022/05/23,,"415",,,,,En proceso,En proceso,"21023,21040","2",Pendiente,T4,,,N/A,,,,4. Leona Vicario,Sin reticula,"2",
"297",T4_04551,Basamento,4028657.622,1074920.738,263+142,7208+521,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,Si,2022/05/25,,"415",,,,,En proceso,En proceso,"21023,21040","2",Pendiente,T4,,,N/A,,,,4. Leona Vicario,Sin reticula,"2",
"298",T4_04903,Cimiento con núcleo,3849175.757,1038133.718,N/A,7019+778,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/05/25,2022/05/26,"407",14,1,4,"1",Intervenido,Excavado,"21023,21040","2",Pendiente,T4,EXC-T4-0008,JUNIO,Si,DANI,"0",,1. Izamal,Sin reticula,"2",
"299",T4_04916,Cimiento,3848915.707,1038603.423,N/A,7019+239,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/05/26,2022/05/27,"407",21.16,1,4,"0",Intervenido,Excavado,"21023,21040","2",Pendiente,T4,EXC-T4-0008,JUNIO,Si,DANI,"0",,1. Izamal,Sin reticula,"2",
"300",T4_16020,Cimiento con núcleo,3848376.16,1039766.148,N/A,7017+952,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/06/06,2022/06/10,"408",21,1,4,"0",Intervenido,Excavado,"21023,21040","2",Pendiente,T4,EXC-T4-0008,,Si,DANI,,,1. Izamal,Sin reticula,"0",
"301",T4_04965,Montículo Chich,3848381.392,1039757.365,N/A,7017+962,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/06/06,2022/06/10,"408",8,1,4,"0",Intervenido,Excavado,"21023,21040","2",Pendiente,T4,EXC-T4-0008,,Si,DANI,,,1. Izamal,Sin reticula,"0",
"302",T4_15031,Cimiento con núcleo,3848383.433,1039762.253,N/A,7017+959,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/06/06,2022/06/10,"408",4,2,8,"0",Intervenido,Excavado,"21023,21040","2",Pendiente,T4,EXC-T4-0008,,Si,DANI,,,1. Izamal,Sin reticula,"0",
"303",T4_15030,Cimiento con núcleo,3848385.574,1039757.021,N/A,7017+964,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/06/06,2022/06/10,"408",8,1,4,"0",Intervenido,Excavado,"21023,21040","2",Pendiente,T4,EXC-T4-0008,,Si,DANI,,,1. Izamal,Sin reticula,"0",
"304",T4_15029,Cimiento con núcleo,3848392.761,1039760.435,N/A,7017+964,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/06/06,2022/06/10,"408",20,1,4,"0",Intervenido,Excavado,"21023,21040","2",Pendiente,T4,EXC-T4-0008,,N/A,DANI,,,1. Izamal,Sin reticula,"0",
"305",T4_16019,Cimiento con núcleo,3848448.4664582,1039640.16496365,,,Monumento principal,Sin monumento superior,,,,2022/06/09,,"405",,,,,Intervenido,Excavado,,,,,,,,,,,1. Izamal,Sin reticula,"0",
"306",T4_03408,Terraza,3860003.1,1036510.12,,,Monumento principal,Sin monumento superior,,,,,,,,,,,,,,,,,,,,,,,1. Izamal,Sin reticula,"5",
"307",T4_14052,Cenote,3890917.07491776,1032364.5671345,,,Monumento principal,Sin monumento superior,,,,2022/05/26,,"402",,,,,En proceso,En proceso,,,,,,,,,,,1. Izamal,Sin reticula,"2",
"308",T4_04945,Cimiento,3848698.07353304,1039045.88481688,,,Monumento superior,Asociado al monumento principal T4_04944,,,,2022/06/07,,"407",,,,,En proceso,En proceso,,,,,,,,,,,1. Izamal,Sin reticula,"0",
"309",T4_04963,Cimiento con núcleo,3848365.71254882,1039696.97532391,,,Monumento principal,Sin monumento superior,,,,2022/06/10,2022/06/14,"405",,,,,Intervenido,Excavado,,,,,,,,,,,1. Izamal,Sin reticula,"0",
"310",T4_04962,Nivelación,3848470.05024372,1039668.64323074,,,Monumento principal,T4_04961,,,,2022/06/13,,"401",,,,,En proceso,En proceso,,,,,,,,,,,1. Izamal,Sin reticula,"0",
"311",T4_04961,Cimiento,3848470.74629387,1039662.92991701,,,Monumento superior,Asociado al monumento principal T4_04962,,,,2022/06/13,2022/06/21,"401",,,,,En proceso,En proceso,,,,,,,,,,,1. Izamal,Sin reticula,"0",
"312",T4_04954,Basamento,3848512.60519305,1039379.73429513,,,Monumento principal,"T4_04953,T4_16017,T4_15021,T4_15022,T4_16016",,,,2022/06/13,,"419",,,,,En proceso,En proceso,,,,,,,,,,,1. Izamal,Sin reticula,"0",
"313",T4_15027,Cimiento con núcleo,3848423.9689956,1039650.82498653,,,Monumento principal,Sin monumento superior,,,,2022/06/13,2022/06/15,"405",,,,,Intervenido,Excavado,,,,,,,,,,,1. Izamal,Sin reticula,"0",
"314",T4_16016,Cimiento,3848519.93201592,1039377.3656145,,,Monumento superior,Asociado al monumento principal T4_04954,,,,2022/06/13,,"419",,,,,En proceso,En proceso,,,,,,,,,,,1. Izamal,Sin reticula,"0",
"315",T4_16029,Cimiento con núcleo,3847781.89913392,1040935.83761311,,,Monumento superior,Asociado al monumento principal T4_04980,,,,2022/06/02,2022/06/07,"401",,,,,Intervenido,Excavado,,,,,,,,,,,1. Izamal,Sin reticula,"0",
"316",T4_15038,Terraza,3847778.38436001,1040940.83721832,,,Monumento superior,Asociado al monumento principal T4_04980,,,,2022/06/02,2022/06/07,"401",,,,,Intervenido,Excavado,,,,,,,,,,,1. Izamal,Sin reticula,"0",
"317",T4_15022,Cimiento,3848508.79984857,1039383.09007606,,,Monumento superior,Asociado al monumento principal T4_04954,,,,2022/06/13,,"419",,,,,En proceso,En proceso,,,,,,,,,,,1. Izamal,Sin reticula,"0",
"318",T4_03096,Albarrada,3852334.32794989,1037384.73228652,,,Monumento superior,Asociado al monumento principal T4_01098,,,,2022/06/16,,"414",,,,,En proceso,En proceso,,,,,,,,,,,1. Izamal,Sin reticula,"0",
"319",T4_16074,Cimiento,3846928.1774134,1042755.00747355,,,Monumento principal,Sin monumento superior,,,,2022/05/16,2022/06/06,"419",,,,,Intervenido,Excavado,,,,,,,,,,,1. Izamal,Sin reticula,"2",
"320",T4_20005,Cimiento,3845969.95532927,1044822.13959705,,,Monumento superior,Asociado al monumento principal T3_13552,,,,2022/06/04,2022/05/13,"402",,,,,Intervenido,Excavado,,,,,,,,,,,1. Izamal,Sin reticula,"0",
