fid,ID Monumento,Tipo,X,Y,km autopista,km tren,Clase de monumento,Monumentos superiores,Ubicación de intervención,Intervención en ceros,Intervención en DDV,Fecha inicio intervención,Fecha fin intervención,ID Arqueólogo(s),Área de monumento (m2),Cuadros intervenidos,Área intervenida (m2),Total bolsas de material,Estatus de intervención,Tipo de intervención,ID Enlace,Tipo de dictaminación,Supervisión de maquinaria,Tramo,Minuta,ENTREGA,Geomalla,DANI,COMPRO_FECH_FIN,MON SUP RESPUESTAS,subtramo,Reti,Rezago,icon_url
"161",T4_15059,Cimiento con núcleo,3845353.247,1045751.191,N/A,7011+187,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/04/01,2022/04/04,"406",7.1,2,8,"3",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,N/A,DANI,"0",,1. Izamal,,"0",
"162",T3_13424,Cimiento con núcleo,3845350.486,1045760.826,N/A,7011+179,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/04/04,2022/04/05,"406",9.24,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,N/A,DANI,"0",,1. Izamal,,"0",
"163",T3_13423,Cimiento con núcleo,3845352.891,1045766.349,N/A,7011+177,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/04/05,2022/04/07,"406",6,1,4,"3",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,N/A,DANI,"0",,1. Izamal,,"0",
"164",T4_16058,Cimiento con núcleo,3845371.822,1045758.669,N/A,7011+196,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/04/07,2022/04/07,"406",30,1,4,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,N/A,DANI,"0",,1. Izamal,,"0",
"165",T4_16057,Cimiento con núcleo,3845359.525,1045755.696,N/A,7011+189,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/04/04,2022/04/04,"406",24,2,8,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,N/A,DANI,"0",,1. Izamal,,"0",
"166",T3_12543,Cimiento con núcleo,3845075.297,1045967.416,N/A,7010+832,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/24,,"408",20,1,4,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,N/A,DANI,"0",Sin monumento superior ,1. Izamal,,"2",
"167",T3_12546,Basamento,3845096.635,1045947.926,N/A,7010+860,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/25,2022/04/01,"401",780,22,88,"12",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,N/A,DANI,"0","T3_13085, T4_16061, T3_12547",1. Izamal,,"0",
"168",T3_13416,Basamento,3845097.911,1045928.194,N/A,7010+871,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/30,,"408",120,2,8,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,N/A,DANI,"0",Sin monumento superior ,1. Izamal,,"2",
"169",T3_12532,Cimiento con núcleo,3843874.272,1046226.912,N/A,7009+590,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/22,2022/03/24,"403",32,2,8,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,N/A,DANI,"0",Sin monumento superior ,1. Izamal,,"0",
"170",T3_13422,Cimiento con núcleo,3845149.83,1045890.137,N/A,7010+937,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/30,2022/04/06,"405",34,1,4,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,N/A,DANI,"0",No aplica,1. Izamal,,"0",
"171",T3_13421,Afloramiento acondicionado,3845158.489,1045890.892,N/A,7010+943,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/31,2022/04/01,"405",27,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,N/A,DANI,"0",No aplica,1. Izamal,,"0",
"172",T3_12549,Cimiento con núcleo,3845170.827,1045883.795,N/A,7010+958,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/04/01,2022/04/06,"405",31,1,4,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,N/A,DANI,"0",No aplica,1. Izamal,,"0",
"173",T4_16061,Cimiento con núcleo,3845077.635,1045949.655,N/A,7010+842,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/25,2022/04/01,"401",72,6,24,"6",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,N/A,DANI,,Asociado al monumento principal T3_12546,1. Izamal,,"0",
"174",T4_16053,Nivelación,3845074.118,1046007.196,N/A,7010+811,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/23,2022/03/23,"408",120,1,4,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,N/A,DANI,"0",Sin monumento superior ,1. Izamal,,"0",
"175",T4_19004,Cimiento,3843874.652,1046236.828,N/A,7009+589,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/22,2022/03/24,"403",24,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,N/A,DANI,"0",Sin monumento superior ,1. Izamal,,"0",
"176",T4_19003,Afloramiento acondicionado,3843860.339,1046228.333,N/A,7009+576,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/18,2022/03/23,"403",1344,2,8,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,N/A,DANI,"0","T4_19004,T3_12532",1. Izamal,,"0",
"177",T4_23002,Basamento,4041059.387,1084189.998,N/A,7224+099,Monumento superior,Asociado a monumento principal T4_25002,Derecho de vía tren,No aplica,Si,2022/03/25,2022/04/04,"402,415,418",110,2,8,"7",Intervenido,Excavado,"21023","2",Pendiente,T4,,ABRIL,N/A,,"0",Asociado al monumento principal T4_25002,4. Leona Vicario,,"0",
"178",T4_23004,Basamento,4041143.236,1084245.793,N/A,7224+201,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,2022/04/01,2022/04/01,"415",50,1,4,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,,ABRIL,N/A,,"0",Sin monumento superior ,4. Leona Vicario,,"0",
"179",T3_12537,Basamento,3844626.769,1046129.67,N/A,7010+352,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/15,2022/03/18,"409",80,25,100,"5",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,N/A,DANI,"0",Sin monumento superior ,1. Izamal,,"0",
"180",T4_02012,Basamento,3903012.583,1033071.011,N/A,7074+384,Monumento superior,Asociado al monumento principal T4_01016,Derecho de vía tren,No aplica,Si,,,"402,406",12,0,0,,Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0003,,N/A,,,,2. Valladolid,,"5",
"181",T3_13083,Terraza,3844931.459,1046031.492,N/A,7010+674,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/16,2022/03/24,"401",36,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,N/A,DANI,,Asociado al monumento principal T4_15057,1. Izamal,,"0",
"182",T3_13085,Cimiento con núcleo,3845075.722,1045955.729,N/A,7010+838,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/25,2022/04/01,"401",36,7,28,"5",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,N/A,DANI,"0",Asociado al monumento principal T3_12546,1. Izamal,,"0",
"183",T4_15057,Basamento,3844915.978,1046025.135,N/A,7010+662,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/16,2022/03/24,"401",1015.808,12,48,"8",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,N/A,DANI,"0","T3_13083,T3_13084,T3_12539,T3_12540,T3_12541",1. Izamal,,"0",
"184",T4_16055,Basamento,3845063.829,1046011.287,N/A,7010+802,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/23,2022/03/25,"409",120,2,8,"3",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,N/A,DANI,"0",,1. Izamal,,"0",
"185",T4_16054,Cimiento,3845066.343,1046006.561,N/A,7010+805,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/23,2022/03/25,"409",16,1,4,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,N/A,DANI,"0",,1. Izamal,,"0",
"186",T4_25002,Basamento,4041062.796,1084188.45,N/A,7224+101,Monumento principal,T4_23002,Derecho de vía tren,No aplica,Si,2022/03/25,2022/04/04,"402,415,418",240,4,16,"11",Intervenido,Excavado,"21023","2",Pendiente,T4,,ABRIL,N/A,,"0",T4_23002,4. Leona Vicario,,"0",
"187",T3_12534,Cimiento con núcleo,3844464.266,1046166.984,N/A,7010+185,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/14,2022/03/15,"406",156,7,28,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,MAYO,N/A,DANI,"0",Sin monumento superior ,1. Izamal,,"0",
"188",T4_01011,Cimiento,3907779.677,1034531.955,133+980,N/A,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,SI,,,"403",0,0,0,"0",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,,MARZO,N/A,,,,2. Valladolid,,"5",
"189",T3_12539,Cimiento compuesto,3844931.598,1046039.549,N/A,7010+671,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/16,2022/03/24,"401",24,2,8,"4",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,N/A,DANI,,Asociado al monumento principal T4_15057,1. Izamal,,"0",
"190",T3_12541,Cimiento con núcleo,3844901.233,1046033.253,N/A,7010+645,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/16,2022/03/24,"401",72,9,36,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,N/A,DANI,,Asociado al monumento principal T4_15057,1. Izamal,,"0",
"191",T3_12540,Cimiento compuesto,3844904.453,1046038.885,N/A,7010+646,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/16,2022/03/24,"401",72.21,7,28,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,N/A,DANI,,Asociado al monumento principal T4_15057,1. Izamal,,"0",
"192",T3_13084,Cimiento con núcleo,3844932.762,1046033.656,N/A,7010+674,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/16,2022/03/24,"401",56.58,1,4,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,ABRIL,N/A,DANI,,Asociado al monumento principal T4_15057,1. Izamal,,"0",
"193",T3_13411,Montículo Chich,3844729.782,1046089.461,N/A,7010+463,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/16,2022/03/17,"406",24,4,16,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,N/A,DANI,"0",Sin monumento superior ,1. Izamal,,"0",
"194",T3_13413,Afloramiento acondicionado,3844777.934,1046086.946,N/A,7010+510,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/16,2022/03/18,"406",10.5,4,16,"3",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0002,ABRIL,N/A,DANI,"0",Sin monumento superior ,1. Izamal,,"0",
"195",T4_04018,Cimiento con núcleo,3903013.873,1033068.248,N/A,7074+385,Monumento superior,Asociado al monumento principal T4_01016,Derecho de vía tren,No aplica,Si,2022/02/21,2022/03/22,"402,406",12.25,0,0,"5",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0003,ABRIL,N/A,,,,2. Valladolid,,"0",
