X,Y,fid,id,m_from,m_to,distance,angle,route,measure,km,icon_url
-87.1042291719359,21.0085665227445,"54","1",0,28268.1722412109,5300,89.999851093328,"1",7220400,7220+400,./0.png
-87.1032669215308,21.0085671116552,"55","1",0,28268.1722412109,5400,89.999851093328,"1",7220500,7220+500,./0.png
-87.1023046710926,21.0085676951256,"56","1",0,28268.1722412109,5500,89.999851093328,"1",7220600,7220+600,./0.png
-87.1013424206217,21.0085682731558,"57","1",0,28268.1722412109,5600,89.999851093328,"1",7220700,7220+700,./0.png
-87.1003801701184,21.0085688457457,"58","1",0,28268.1722412109,5700,89.999851093328,"1",7220800,7220+800,./0.png
-87.0994179195829,21.0085694128953,"59","1",0,28268.1722412109,5800,89.999851093328,"1",7220900,7220+900,./0.png
-87.0984556690156,21.0085699746046,"60","1",0,28268.1722412109,5900,89.999851093328,"1",7221000,7221+000,./0.png
-87.0974934184168,21.0085705308737,"61","1",0,28268.1722412109,6000,89.999851093328,"1",7221100,7221+100,./0.png
-87.0965311677868,21.0085710817025,"62","1",0,28268.1722412109,6100,89.999851093328,"1",7221200,7221+200,./0.png
-87.095568917126,21.008571627091,"63","1",0,28268.1722412109,6200,89.999851093328,"1",7221300,7221+300,./0.png
-87.0946066664345,21.0085721670392,"64","1",0,28268.1722412109,6300,89.999851093328,"1",7221400,7221+400,./0.png
-87.0936444157127,21.0085727015472,"65","1",0,28268.1722412109,6400,89.999851093328,"1",7221500,7221+500,./0.png
-87.092682164961,21.0085732306148,"66","1",0,28268.1722412109,6500,89.999851093328,"1",7221600,7221+600,./0.png
-87.0917199141796,21.0085737542422,"67","1",0,28268.1722412109,6600,89.999851093328,"1",7221700,7221+700,./0.png
-87.0907576633688,21.0085742724293,"68","1",0,28268.1722412109,6700,89.999851093328,"1",7221800,7221+800,./0.png
-87.0897954125288,21.0085747847906,"69","1",0,28268.1722412109,6800,89.9999266839245,"1",7221900,7221+900,./0.png
-87.0888331616596,21.0085752910408,"70","1",0,28268.1722412109,6900,89.9998706601107,"1",7222000,7222+000,./0.png
-87.0878709107625,21.0085757925985,"71","1",0,28268.1722412109,7000,89.9998706601107,"1",7222100,7222+100,./0.png
-87.0869086598372,21.0085762887159,"72","1",0,28268.1722412109,7100,89.9998706601107,"1",7222200,7222+200,./0.png
-87.0859464088841,21.008576779393,"73","1",0,28268.1722412109,7200,89.9998706601107,"1",7222300,7222+300,./0.png
-87.0849841579035,21.0085772646298,"74","1",0,28268.1722412109,7300,89.9998706601107,"1",7222400,7222+400,./0.png
-87.0840219068957,21.0085777444264,"75","1",0,28268.1722412109,7400,89.9998706601107,"1",7222500,7222+500,./0.png
-87.083059655861,21.0085782187826,"76","1",0,28268.1722412109,7500,89.9998706601107,"1",7222600,7222+600,./0.png
-87.0820974047997,21.0085786876986,"77","1",0,28268.1722412109,7600,89.9998706601107,"1",7222700,7222+700,./0.png
-87.0811351537122,21.0085791511742,"78","1",0,28268.1722412109,7700,89.9998706601107,"1",7222800,7222+800,./0.png
-87.0801729025987,21.0085796092096,"79","1",0,28268.1722412109,7800,89.9998706601107,"1",7222900,7222+900,./0.png
